CODE,NAME,LEVEL,PARENT_CODE,STATUS
450000,广西壮族自治区,1,,1
450100,南宁市,2,450000,1
450102,兴宁区,3,450100,1
450103,青秀区,3,450100,1
450105,江南区,3,450100,1
450107,西乡塘区,3,450100,1
450108,良庆区,3,450100,1
450109,邕宁区,3,450100,1
450110,武鸣区,3,450100,1
450123,隆安县,3,450100,1
450124,马山县,3,450100,1
450125,上林县,3,450100,1
450126,宾阳县,3,450100,1
450181,横州市,3,450100,1
450200,柳州市,2,450000,1
450202,城中区,3,450200,1
450203,鱼峰区,3,450200,1
450204,柳南区,3,450200,1
450205,柳北区,3,450200,1
450206,柳江区,3,450200,1
450222,柳城县,3,450200,1
450223,鹿寨县,3,450200,1
450224,融安县,3,450200,1
450225,融水苗族自治县,3,450200,1
450226,三江侗族自治县,3,450200,1
450300,桂林市,2,450000,1
450302,秀峰区,3,450300,1
450303,叠彩区,3,450300,1
450304,象山区,3,450300,1
450305,七星区,3,450300,1
450311,雁山区,3,450300,1
450312,临桂区,3,450300,1
450321,阳朔县,3,450300,1
450323,灵川县,3,450300,1
450324,全州县,3,450300,1
450325,兴安县,3,450300,1
450326,永福县,3,450300,1
450327,灌阳县,3,450300,1
450328,龙胜各族自治县,3,450300,1
450329,资源县,3,450300,1
450330,平乐县,3,450300,1
450332,恭城瑶族自治县,3,450300,1
450381,荔浦市,3,450300,1
450400,梧州市,2,450000,1
450403,万秀区,3,450400,1
450405,长洲区,3,450400,1
450406,龙圩区,3,450400,1
450421,苍梧县,3,450400,1
450422,藤县,3,450400,1
450423,蒙山县,3,450400,1
450481,岑溪市,3,450400,1
450500,北海市,2,450000,1
450502,海城区,3,450500,1
450503,银海区,3,450500,1
450512,铁山港区,3,450500,1
450521,合浦县,3,450500,1
450600,防城港市,2,450000,1
450602,港口区,3,450600,1
450603,防城区,3,450600,1
450621,上思县,3,450600,1
450681,东兴市,3,450600,1
450700,钦州市,2,450000,1
450702,钦南区,3,450700,1
450703,钦北区,3,450700,1
450721,灵山县,3,450700,1
450722,浦北县,3,450700,1
450800,贵港市,2,450000,1
450802,港北区,3,450800,1
450803,港南区,3,450800,1
450804,覃塘区,3,450800,1
450821,平南县,3,450800,1
450881,桂平市,3,450800,1
450900,玉林市,2,450000,1
450902,玉州区,3,450900,1
450903,福绵区,3,450900,1
450921,容县,3,450900,1
450922,陆川县,3,450900,1
450923,博白县,3,450900,1
450924,兴业县,3,450900,1
450981,北流市,3,450900,1
451000,百色市,2,450000,1
451002,右江区,3,451000,1
451003,田阳区,3,451000,1
451022,田东县,3,451000,1
451024,德保县,3,451000,1
451026,那坡县,3,451000,1
451027,凌云县,3,451000,1
451028,乐业县,3,451000,1
451029,田林县,3,451000,1
451030,西林县,3,451000,1
451031,隆林各族自治县,3,451000,1
451081,靖西市,3,451000,1
451082,平果市,3,451000,1
451100,贺州市,2,450000,1
451102,八步区,3,451100,1
451103,平桂区,3,451100,1
451121,昭平县,3,451100,1
451122,钟山县,3,451100,1
451123,富川瑶族自治县,3,451100,1
451200,河池市,2,450000,1
451202,金城江区,3,451200,1
451203,宜州区,3,451200,1
451221,南丹县,3,451200,1
451222,天峨县,3,451200,1
451223,凤山县,3,451200,1
451224,东兰县,3,451200,1
451225,罗城仫佬族自治县,3,451200,1
451226,环江毛南族自治县,3,451200,1
451227,巴马瑶族自治县,3,451200,1
451228,都安瑶族自治县,3,451200,1
451229,大化瑶族自治县,3,451200,1
451300,来宾市,2,450000,1
451302,兴宾区,3,451300,1
451321,忻城县,3,451300,1
451322,象州县,3,451300,1
451323,武宣县,3,451300,1
451324,金秀瑶族自治县,3,451300,1
451381,合山市,3,451300,1
451400,崇左市,2,450000,1
451402,江州区,3,451400,1
451421,扶绥县,3,451400,1
451422,宁明县,3,451400,1
451423,龙州县,3,451400,1
451424,大新县,3,451400,1
451425,天等县,3,451400,1
451481,凭祥市,3,451400,1
460000,海南省,1,,1
